"TIME","GEO","SEX","UNIT","Value"
"2019W05","Slovenia","Males","Number","282"
"2019W05","Slovenia","Females","Number","233"
"2019W05","Slovakia","Total","Number","1 224"
"2019W05","Slovakia","Males","Number","618"
"2019W05","Slovakia","Females","Number","606"
"2019W05","Finland","Total","Number","1 141"
"2019W05","Finland","Males","Number","564"
"2019W05","Finland","Females","Number","577"
"2019W05","Sweden","Total","Number","1 812"
"2019W05","Sweden","Males","Number","892"
"2019W05","Sweden","Females","Number","920"
"2019W05","United Kingdom","Total","Number","12 767"
"2019W05","United Kingdom","Males","Number","6 346"
"2019W05","United Kingdom","Females","Number","6 421"
"2019W05","Iceland","Total","Number","43"
"2019W05","Iceland","Males","Number","24"
"2019W05","Iceland","Females","Number","19"
"2019W05","Liechtenstein","Total","Number","4"
"2019W05","Liechtenstein","Males","Number","2"
"2019W05","Liechtenstein","Females","Number","2"
"2019W05","Norway","Total","Number","889"
"2019W05","Norway","Males","Number","432"
"2019W05","Norway","Females","Number","457"
"2019W05","Switzerland","Total","Number","1 439"
"2019W05","Switzerland","Males","Number","691"
"2019W05","Switzerland","Females","Number","748"
"2019W05","Montenegro","Total","Number","169"
"2019W05","Montenegro","Males","Number","87"
"2019W05","Montenegro","Females","Number","82"
"2019W05","Albania","Total","Number","525"
"2019W05","Albania","Males","Number","298"
"2019W05","Albania","Females","Number","227"
"2019W05","Serbia","Total","Number","2 515"
"2019W05","Serbia","Males","Number","1 291"
"2019W05","Serbia","Females","Number","1 224"
"2019W05","Andorra","Total","Number","11"
"2019W05","Andorra","Males","Number","6"
"2019W05","Andorra","Females","Number","5"
"2019W05","Armenia","Total","Number","580"
"2019W05","Armenia","Males","Number","305"
"2019W05","Armenia","Females","Number","275"
"2019W05","Georgia","Total","Number","1 064"
"2019W05","Georgia","Males","Number","552"
"2019W05","Georgia","Females","Number","512"
"2019W06","Belgium","Total","Number","2 544"
"2019W06","Belgium","Males","Number","1 233"
"2019W06","Belgium","Females","Number","1 311"
"2019W06","Bulgaria","Total","Number","2 245"
"2019W06","Bulgaria","Males","Number","1 142"
"2019W06","Bulgaria","Females","Number","1 103"
"2019W06","Czechia","Total","Number","2 445"
"2019W06","Czechia","Males","Number","1 252"
"2019W06","Czechia","Females","Number","1 193"
"2019W06","Denmark","Total","Number","1 250"
"2019W06","Denmark","Males","Number","650"
"2019W06","Denmark","Females","Number","600"
"2019W06","Germany (until 1990 former territory of the FRG)","Total","Number","19 981"
"2019W06","Germany (until 1990 former territory of the FRG)","Males","Number",":"
"2019W06","Germany (until 1990 former territory of the FRG)","Females","Number",":"
"2019W06","Estonia","Total","Number","325"
"2019W06","Estonia","Males","Number","148"
"2019W06","Estonia","Females","Number","177"
"2019W06","Greece","Total","Number","2 772"
"2019W06","Greece","Males","Number","1 390"
"2019W06","Greece","Females","Number","1 382"
"2019W06","Spain","Total","Number","9 686"
"2019W06","Spain","Males","Number","4 864"
"2019W06","Spain","Females","Number","4 822"
